"Name","ID","State","Notes","User","Tags","Created","rqvae_uid","uid","Runtime","dataset_split","dataset_folder","use_image_features","log_dir","pretrained_rqvae_path","log_every","accelerator","amp","attn_embed_dim","attn_heads","attn_layers","batch_size","category","dataset","debug","decoder_embed_dim","device","dropout_p","eval_every","force_dataset_process","full_eval_every","gradient_accumulate_every","iterations","learning_rate","mixed_precision_type","model_jagged_mode","partial_eval_every","save_model_every","split_batches","train_data_subsample","vae_codebook_normalize","vae_codebook_size","vae_embed_dim","vae_hidden_dims","vae_input_dim","vae_n_cat_feats","vae_n_layers","vae_sim_vq","wandb_logging","weight_decay","enable_fairness","use_tiger_fairness","pretrained_decoder_path","feature_combination_mode","run_prefix","prefix_matching","rope","eval/loss","eval/loss_0","eval/loss_1","eval/loss_2","eval/loss_3","eval/seq_length_p0.25","eval/seq_length_p0.5","eval/seq_length_p0.75","eval/seq_length_p0.9","eval/seq_length_p1","gini@1","gini@10","gini@5","h@1","h@10","h@10_pos_0","h@10_pos_1","h@10_pos_2","h@10_pos_3","h@10_slice_:1","h@10_slice_:2","h@10_slice_:3","h@10_slice_:4","h@1_pos_0","h@1_pos_1","h@1_pos_2","h@1_pos_3","h@1_slice_:1","h@1_slice_:2","h@1_slice_:3","h@1_slice_:4","h@5","h@5_pos_0","h@5_pos_1","h@5_pos_2","h@5_pos_3","h@5_slice_:1","h@5_slice_:2","h@5_slice_:3","h@5_slice_:4","metrics/gini@1","metrics/gini@10","metrics/gini@5","metrics/h@1","metrics/h@10","metrics/h@10_pos_0","metrics/h@10_pos_1","metrics/h@10_pos_2","metrics/h@10_pos_3","metrics/h@10_slice_:1","metrics/h@10_slice_:2","metrics/h@10_slice_:3","metrics/h@10_slice_:4","metrics/h@1_pos_0","metrics/h@1_pos_1","metrics/h@1_pos_2","metrics/h@1_pos_3","metrics/h@1_slice_:1","metrics/h@1_slice_:2","metrics/h@1_slice_:3","metrics/h@1_slice_:4","metrics/h@5","metrics/h@5_pos_0","metrics/h@5_pos_1","metrics/h@5_pos_2","metrics/h@5_pos_3","metrics/h@5_slice_:1","metrics/h@5_slice_:2","metrics/h@5_slice_:3","metrics/h@5_slice_:4","metrics/ndcg@1","metrics/ndcg@10","metrics/ndcg@5","metrics/recall@1","metrics/recall@10","metrics/recall@5","ndcg@1","ndcg@10","ndcg@5","recall@1","recall@10","recall@5","train/learning_rate","train/loss_0","train/loss_1","train/loss_2","train/loss_3","train/seq_length_p0.25","train/seq_length_p0.5","train/seq_length_p0.75","train/seq_length_p0.9","train/seq_length_p1","train/total_loss","enable_image_cross_attn","use_rqvae_cross_attn"
"2023-cross-attn-decoder-amazon-sports/1750516310/1758187117","onnqjzg3","finished","dec CA, seq. attn. + valid masking (working)","","amazon-2023, cross-attn, sports","2025-09-18T09:18:38.000Z","1750516310","1758187117","20080","sports","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/sports/1758187117","/home/scur2745/logdir/rqvae/amazon/2023/sports/1750516310/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x1474b9b384f0>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","cross-attn","2023-cross-attn","false","false","11.233622492576131","4.391728430378194","3.3030659519896215","2.00155880256575","1.5372692881798258","16","21.510204081632654","32.16326530612245","51.06122199856505","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.21243365714288565","0.15813000000006522","0.04024","0.08888","0.21516","0.2384","0.31252","0.19684","0.21516","0.12988","0.10576","0.08888","0.12816","0.12848","0.10192","0.09168","0.12816","0.08672","0.0416","0.04024","0.07684","0.13172","0.16768","0.2454","0.09776","0.13172","0.1","0.08552","0.07684","0.04024","0.0626234400098739","0.058714387803786114","0.04024","0.08888","0.07684","","","","","","","0.00006708187162052427","4.264715194702148","3.013852119445801","1.6896371841430664","1.1474616527557373","8","12","16","28","80","10.115666389465332","true",""
"2023-cross-attn-decoder-amazon-toys/1750516446/1758185438","gvo3pazk","finished","dec CA, seq. attn. + valid masking (working)","","amazon-2023, cross-attn, toys","2025-09-18T08:50:39.000Z","1750516446","1758185438","20015","toys","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/toys/1758185438","/home/scur2745/logdir/rqvae/amazon/2023/toys/1750516446/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14e21f3f9490>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","cross-attn","2023-cross-attn","false","false","11.344042992105289","4.146554830122967","3.1903543034378363","2.173077724417862","1.8340561754849491","16.081632653061224","23.102040816326532","33.63265306122449","54.073466398278065","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.3960799968253173","0.25683666666664284","0.04464","0.08632","0.25332","0.23956","0.35416","0.28032","0.25332","0.13956","0.09624","0.08632","0.14216","0.11592","0.14156","0.08648","0.14216","0.06044","0.046","0.04464","0.08084","0.2188","0.1988","0.25216","0.12304","0.2188","0.1238","0.08728","0.08084","0.04464","0.06528071059207269","0.06351627752408939","0.04464","0.08632","0.08084","","","","","","","0.00006708187162052427","3.921315670013428","3.17776870727539","1.8682961463928225","1.4804867506027222","8","12","16","28","68","10.447867393493652","true",""
"2023-cross-attn-decoder-amazon-games/1750517268/1758185174","6shva5wy","finished","dec CA, seq. attn. + valid masking (working)","","amazon-2023, cross-attn, games","2025-09-18T08:46:15.000Z","1750517268","1758185174","17985","games","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/games/1758185174","/home/scur2745/logdir/rqvae/amazon/2023/games/1750517268/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x154e5bc3a4f0>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","cross-attn","2023-cross-attn","false","false","13.78161299958521","5.9816941241828765","4.234957471185801","2.2039921405364056","1.3609693561281475","16","21.79591836734694","32.734693877551024","52.26122050382653","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.35555052698401735","0.16555666666671218","0.00764","0.02684","0.1762","0.23308","0.31172","0.71344","0.1762","0.05804","0.035","0.02684","0.04944","0.0392","0.05084","0.24968","0.04944","0.01452","0.009","0.00764","0.01884","0.12568","0.14284","0.19244","0.59032","0.12568","0.04004","0.02388","0.01884","0.00764","0.015975816623955225","0.01339128582627027","0.00764","0.02684","0.01884","","","","","","","0.00006708187162052427","1.1437735557556152","0.5720041990280151","0.32257258892059326","0.10429242998361588","8","12","16","24","68","2.1426429748535156","true",""
"2023-cross-attn-decoder-amazon-software/1750517045/1758185057","qf8iqoid","finished","dec CA, seq. attn. + valid masking (working)","","amazon-2023, cross-attn, software","2025-09-18T08:44:18.000Z","1750517045","1758185057","17965","software","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/software/1758185057","/home/scur2745/logdir/rqvae/amazon/2023/software/1750517045/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14b731579550>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","cross-attn","2023-cross-attn","false","false","7.585460838006467","4.521323204040527","1.5689637393367537","0.589898014555172","0.9052758861561212","16","22.367346938775512","33.265306122448976","53.86122349330357","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.12868","0.35436","0.52184","0.59792","0.77672","0.70392","0.52184","0.41544","0.38312","0.35436","0.1904","0.29928","0.42032","0.24532","0.1904","0.15204","0.13724","0.12868","0.30496","0.45572","0.4988","0.657","0.5674","0.45572","0.36048","0.32768","0.30496","0.12868","0.24007374848436816","0.22406638666535272","0.12868","0.35436","0.30496","","","","","","","0.00006708187162052427","1.705986499786377","0.5887181758880615","0.22880184650421145","0.24734431505203247","8","12","16","24","80","2.7708511352539062","true",""
"2023-cross-attn-decoder-amazon-beauty/1750516729/1758148089","gn5tldnn","finished","dec CA, seq. attn. + valid masking (working)","","amazon-2023, beauty, cross-attn","2025-09-17T22:28:10.000Z","1750516729","1758148089","17509","beauty","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/beauty/1758148089","/home/scur2745/logdir/rqvae/amazon/2023/beauty/1750516729/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x1547a29f8580>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","cross-attn","2023-cross-attn","false","false","27.194108963012695","17.407922744750977","7.508858680725098","2.1825573444366455","0.09477295726537704","20","28","44","68","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.11607566346696768","0.05395256916996055","0.03162055335968379","0.11067193675889328","0.1976284584980237","0.2885375494071146","0.48221343873517786","0.9960474308300395","0.1976284584980237","0.11857707509881422","0.11462450592885376","0.11067193675889328","0.04743083003952569","0.05138339920948617","0.1067193675889328","0.9644268774703556","0.04743083003952569","0.03557312252964427","0.03557312252964427","0.03162055335968379","0.07905138339920949","0.14624505928853754","0.1857707509881423","0.34782608695652173","0.9960474308300395","0.14624505928853754","0.08695652173913043","0.08300395256916997","0.07905138339920949","0.03162055335968379","0.06570876402151324","0.05564975838913379","0.03162055335968379","0.11067193675889328","0.07905138339920949","","","","","","","0.00006708187162052427","0.0004304136091377586","0.00001728066854411736","3.613860428686167e-7","4.71182781680568e-9","8","12","20","32","56","0.0004480603674892336","true",""
"2023-clip-concat-decoder-amazon-toys/1757023923/1757076238","x6ybfmnh","finished","-","","amazon-2023, clip-concat, toys","2025-09-05T12:44:06.000Z","1757023923","1757076238","28476","toys","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/toys/1757076238","/home/scur2745/logdir/rqvae/amazon/2023/toys/1757023923/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x147c508773a0>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","2023-clip-concat","false","false","9.933181957322724","3.200508010630705","3.0280209366156132","2.1972910384742583","1.507361957005092","16","22.816326530612244","33.55102040816327","53.33877252072704","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.3604931428570291","0.2330186666666743","0.08256","0.25328","0.51156","0.45224","0.42368","0.50176","0.51156","0.33156","0.27276","0.25328","0.22404","0.25524","0.30232","0.319","0.22404","0.1228","0.08516","0.08256","0.2196","0.43204","0.37996","0.38652","0.4114","0.43204","0.2766","0.23128","0.2196","0.08256","0.16715653559894872","0.15604301227696304","0.08256","0.25328","0.2196","","","","","","","0.00006708187162052427","2.89774751663208","2.388096332550049","1.469996452331543","0.9044846296310424","8","12","16","28","68","7.660325050354004","",""
"2023-clip-concat-decoder-amazon-sports/1757020937/1757030758","zr6j1ehk","finished","-","","amazon-2023, clip-concat, sports","2025-09-05T00:05:59.000Z","1757020937","1757030758","27096","sports","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/sports/1757030758","/home/scur2745/logdir/rqvae/amazon/2023/sports/1757020937/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x15277dbfb430>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","2023-clip-concat","false","false","10.812229973929268","3.759770938328334","3.3801525028384463","2.401162395671922","1.271144090866556","16","21.59183673469388","32.244897959183675","51.12652712452169","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.3103106920634206","0.24348466666668545","0.08984","0.13996","0.38548","0.28156","0.33028","0.57808","0.38548","0.20016","0.15116","0.13996","0.18408","0.20744","0.16108","0.15712","0.18408","0.1304","0.09124","0.08984","0.13092","0.31856","0.23148","0.25416","0.36908","0.31856","0.186","0.13816","0.13092","0.08984","0.11448439912543852","0.11154207849100264","0.08984","0.13996","0.13092","","","","","","","0.00006708187162052427","3.676621675491333","2.6657471656799316","1.3957557678222656","0.7553190588951111","8","12","16","28","72","8.493443489074707","",""
"2023-clip-concat-decoder-amazon-software/1757016834/1757028570","sukbkpb1","finished","-","","amazon-2023, clip-concat, software","2025-09-04T23:29:32.000Z","1757016834","1757028570","19217","software","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/software/1757028570","/home/scur2745/logdir/rqvae/amazon/2023/software/1757016834/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14d9ae3fb430>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","2023-clip-concat","false","false","10.746061694865324","4.807922830387038","3.773636968768373","1.3009131343997256","0.8635888939001122","16","22.122448979591837","33.46938775510204","53.57550671635842","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000016","0","0.03432","0.13192","0.43372","0.35636","0.37152","0.77404","0.43372","0.20036","0.169","0.13192","0.16416","0.10772","0.12112","0.41496","0.16416","0.05972","0.05196","0.03432","0.0932","0.34152","0.26236","0.27684","0.70856","0.34152","0.14628","0.12372","0.0932","0.03432","0.0770669727114348","0.06457549891847912","0.03432","0.13192","0.0932","","","","","","","0.00006708187162052427","1.3842390775680542","0.98775053024292","0.3253425359725952","0.14851070940494537","8","12","16","26","80","2.8458428382873535","",""
"2023-clip-concat-decoder-amazon-games/1757016555/1757021550","xzwbp206","finished","-","","amazon-2023, clip-concat, games","2025-09-04T21:32:31.000Z","1757016555","1757021550","20156","games","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/games/1757021550","/home/scur2745/logdir/rqvae/amazon/2023/games/1757016555/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14940452f430>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","2023-clip-concat","false","false","13.227155412946429","5.940817988648707","4.1728819827644195","1.5803795323079946","1.5330759554493183","16.06122448979592","21.877551020408163","32.775510204081634","52.195915377869895","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.22306240634917615","0.10019000000000926","0.0496","0.13416","0.3866","0.3614","0.3876","0.70868","0.3866","0.24556","0.19256","0.13416","0.15076","0.167","0.118","0.36744","0.15076","0.08488","0.06532","0.0496","0.1088","0.3264","0.30048","0.30488","0.61888","0.3264","0.20188","0.15472","0.1088","0.0496","0.08886572991793854","0.08064223677808727","0.0496","0.13416","0.1088","","","","","","","0.00006708187162052427","0.8869993686676025","0.5289293527603149","0.24817337095737457","0.2733306586742401","8","12","16","24","76","1.9374327659606936","",""
"2023-clip-concat-decoder-amazon-beauty/1757016404/1757021026","7v5304t7","finished","-","","amazon-2023, beauty, clip-concat","2025-09-04T21:23:47.000Z","1757016404","1757021026","17810","beauty","dataset/amazon/2023","true","/home/scur2745/logdir/decoder/amazon/2023/beauty/1757021026","/home/scur2745/logdir/rqvae/amazon/2023/beauty/1757016404/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14851dfb9430>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","2023-clip-concat","false","false","29.935199737548828","22.736581802368164","5.462137222290039","1.7364816665649414","0","20","28","44","68","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.09274327122153206","0.04110671936758897","0.03557312252964427","0.05928853754940711","0.11857707509881422","0.15019762845849802","0.3636363636363637","1","0.11857707509881422","0.05928853754940711","0.05928853754940711","0.05928853754940711","0.05928853754940711","0.039525691699604744","0.09486166007905138","0.9960474308300395","0.05928853754940711","0.03557312252964427","0.03557312252964427","0.03557312252964427","0.04743083003952569","0.07905138339920949","0.11067193675889328","0.25296442687747034","1","0.07905138339920949","0.04743083003952569","0.04743083003952569","0.04743083003952569","0.03557312252964427","0.04556471131492971","0.04208977199358679","0.03557312252964427","0.05928853754940711","0.04743083003952569","","","","","","","0.00006708187162052427","0.00001452451033401303","0.000008976487151812762","0.000002288406903971918","1.4135487225175323e-9","8","12","20","32","64","0.00002579081592557486","",""
"clip-concat-decoder-amazon-beauty/1749949502/1756984336","af78elgz","finished","-","","amazon, beauty, clip-concat","2025-09-04T11:12:17.000Z","1749949502","1756984336","18521","beauty","dataset/amazon/2014","true","/home/scur2745/logdir/decoder/amazon/2014/beauty/1756984336","/home/scur2745/logdir/rqvae/amazon/2014/beauty/1749949502/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x147a17bbd430>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","clip-concat","false","false","17.645503000779584","6.546509265899658","5.497909025712446","2.9169588685035706","2.6841260574080725","16","21.272727272727273","32.65909090909091","53.35453935102983","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.2028635096662692","0.11376231572987236","0.009927111747082232","0.04037919778205071","0.3347046460671645","0.30121182310065736","0.291866028708134","0.6616732996467379","0.3347046460671645","0.13571524392970533","0.07230693556320708","0.04037919778205071","0.1457765058355319","0.08876268836918123","0.06922148191208694","0.4027634932701337","0.1457765058355319","0.041631265930331354","0.018602155345883827","0.009927111747082232","0.028663417251710413","0.26838975092787193","0.2213030452086035","0.20162768859276484","0.5882037293744131","0.26838975092787193","0.1007020524974288","0.05115592720118052","0.028663417251710413","0.009927111747082232","0.02319829706335926","0.019423701825839367","0.009927111747082232","0.04037919778205071","0.028663417251710413","","","","","","","0.00006708187162052427","0.16036733984947205","0.123093381524086","0.04328157380223274","0.02912149950861931","8","12","16","24","68","0.3558638095855713","",""
"clip-concat-decoder-amazon-sports/1749949945/1756983162","07fniih5","finished","-","","amazon, clip-concat, sports","2025-09-04T10:52:43.000Z","1749949945","1756983162","18709","sports","dataset/amazon/2014","true","/home/scur2745/logdir/decoder/amazon/2014/sports/1756983162","/home/scur2745/logdir/rqvae/amazon/2014/sports/1749949945/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14ddcf2b6460>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","clip-concat","false","false","16.534453882489885","6.363364376340594","5.365553631101336","3.1020380224500386","1.7034978781427657","16","20.97142857142857","31.942857142857143","49.98285260881696","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.22149256646303328","0.12128818098397982","0.022192257992022024","0.05188493735603124","0.28802179897747066","0.27863924939603346","0.26596999831451207","0.7741727063318163","0.28802179897747066","0.1380695544693522","0.08812292825439631","0.05188493735603124","0.13267599303331648","0.10666329569076914","0.07775717736951514","0.43376032361368616","0.13267599303331648","0.07011629866846453","0.0440755098601045","0.022192257992022024","0.04312040002247317","0.23464801393336704","0.21259621327040845","0.18147086914995225","0.7136917804371032","0.23464801393336704","0.11778751615259284","0.07489184785662116","0.04312040002247317","0.022192257992022024","0.03626184833307814","0.03344082279012335","0.022192257992022024","0.05188493735603124","0.04312040002247317","","","","","","","0.00006708187162052427","0.2468130737543106","0.2180403470993042","0.09151653200387956","0.08906777203083038","8","12","16","24","52","0.6454377174377441","",""
"clip-concat-decoder-amazon-toys/1749950345/1756949408","87bwkhph","finished","valid masking text features","","amazon, clip-concat, toys","2025-09-04T01:30:09.000Z","1749950345","1756949408","18235","toys","dataset/amazon/2014","true","/home/scur2745/logdir/decoder/amazon/2014/toys/1756949408","/home/scur2745/logdir/rqvae/amazon/2014/toys/1749950345/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14e757879340>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","200000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","concat","clip-concat","false","false","18.774104168540553","6.912227480035079","6.270801054803949","3.456014545340287","2.1350612891347787","16","20.105263157894736","31.18421052631579","51.75789280941612","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.23027791269678272","0.12868157153652782","0.029826911188955287","0.07675664537399547","0.3635380177209973","0.32680815990109213","0.32526272408819284","0.7678755409025345","0.3635380177209973","0.16824644549763032","0.11204409643519472","0.07675664537399547","0.18060993200082423","0.1166288893467958","0.0971563981042654","0.447300638780136","0.18060993200082423","0.07222336698949104","0.047135792293426744","0.029826911188955287","0.06042654028436019","0.29986606222954876","0.2473727591180713","0.2323820317329487","0.7047187306820524","0.29986606222954876","0.13429837214094376","0.08989284978363898","0.06042654028436019","0.029826911188955287","0.05106252857215009","0.045776971607789936","0.029826911188955287","0.07675664537399547","0.06042654028436019","","","","","","","0.00006708187162052427","0.141104057431221","0.057663802057504654","0.05056636780500412","0.03606288507580757","8","12","16","28","72","0.28539711236953735","",""
